district,paddyType,season,quantity,price
Ampara,Keeri Samba,Yala,3054,131
Ampara,Nadu,Yala,1087,100
Ampara,Nadu,Maha,3882,111
Ampara,Keeri Samba,Maha,2841,141
Ampara,Samba,Maha,1478,135
Ampara,Samba,Yala,3994,122
Ampara,Keeri Samba,Maha,2438,145
Ampara,Nadu,Maha,4071,118
Ampara,Nadu,Maha,3035,114
Ampara,Keeri Samba,Maha,4524,143
Ampara,Keeri Samba,Yala,4386,134
Ampara,Nadu,Maha,550,113
Ampara,Samba,Yala,4531,129
Ampara,Nadu,Maha,2713,114
Ampara,Samba,Maha,3588,138
Ampara,Samba,Yala,3844,121
Ampara,Nadu,Maha,1251,118
Ampara,Keeri Samba,Yala,2996,134
Ampara,Keeri Samba,Maha,4946,145
Ampara,Samba,Maha,2270,136
Ampara,Nadu,Maha,621,110
Ampara,Nadu,Maha,2211,112
Ampara,Samba,Yala,4751,126
Ampara,Keeri Samba,Maha,1955,147
Ampara,Nadu,Yala,4603,101
Ampara,Keeri Samba,Maha,3622,150
Ampara,Nadu,Yala,1523,100
Ampara,Keeri Samba,Maha,2488,149
Ampara,Keeri Samba,Yala,4076,133
Ampara,Samba,Yala,2907,120
Ampara,Samba,Yala,943,130
Ampara,Keeri Samba,Maha,2994,150
Ampara,Samba,Yala,3158,120
Ampara,Nadu,Maha,3228,119
Ampara,Keeri Samba,Yala,3825,133
Ampara,Nadu,Yala,1627,102
Ampara,Samba,Maha,4362,140
Ampara,Nadu,Yala,3261,101
Ampara,Nadu,Maha,2310,119
Ampara,Samba,Yala,3219,123
Ampara,Samba,Maha,2572,130
Ampara,Nadu,Yala,2100,108
Ampara,Nadu,Maha,847,111
Ampara,Keeri Samba,Maha,1897,149
Ampara,Keeri Samba,Maha,1953,147
Ampara,Keeri Samba,Yala,4402,132
Ampara,Keeri Samba,Yala,2195,130
Ampara,Samba,Yala,1838,122
Ampara,Samba,Maha,2470,135
Ampara,Keeri Samba,Maha,1753,140
Ampara,Keeri Samba,Yala,1164,131
