district,paddyType,season,quantity,price
Monaragala,Keeri Samba,Yala,2208,130
Monaragala,Samba,Yala,1006,125
Monaragala,Samba,Yala,2304,118
Monaragala,Samba,Maha,4918,127
Monaragala,Samba,Maha,3921,137
Monaragala,Samba,Yala,4880,119
Monaragala,Nadu,Yala,708,101
Monaragala,Samba,Yala,2342,119
Monaragala,Samba,Maha,3387,131
Monaragala,Keeri Samba,Yala,4057,131
Monaragala,Keeri Samba,Maha,644,139
Monaragala,Samba,Maha,2330,133
Monaragala,Nadu,Yala,3339,107
Monaragala,Nadu,Yala,670,102
Monaragala,Samba,Yala,3851,124
Monaragala,Nadu,Yala,1846,100
Monaragala,Keeri Samba,Maha,4761,140
Monaragala,Samba,Yala,1416,120
Monaragala,Nadu,Maha,4298,111
Monaragala,Nadu,Yala,2590,103
Monaragala,Nadu,Yala,1257,103
Monaragala,Samba,Maha,3327,129
Monaragala,Nadu,Yala,4754,106
Monaragala,Samba,Maha,4428,129
Monaragala,Nadu,Maha,1166,113
Monaragala,Keeri Samba,Maha,934,142
Monaragala,Keeri Samba,Yala,2275,129
Monaragala,Keeri Samba,Yala,1731,134
Monaragala,Nadu,Maha,3348,109
Monaragala,Samba,Maha,2920,129
Monaragala,Keeri Samba,Maha,1058,141
Monaragala,Samba,Yala,2115,121
Monaragala,Keeri Samba,Yala,3484,133
Monaragala,Keeri Samba,Maha,4753,142
Monaragala,Keeri Samba,Maha,3282,140
Monaragala,Samba,Maha,1352,131
Monaragala,Keeri Samba,Yala,4644,130
Monaragala,Samba,Maha,4909,130
Monaragala,Samba,Yala,544,119
Monaragala,Keeri Samba,Yala,2315,128
Monaragala,Samba,Maha,2155,137
Monaragala,Keeri Samba,Yala,2189,131
Monaragala,Nadu,Yala,4477,102
Monaragala,Samba,Maha,2894,129
Monaragala,Nadu,Yala,3152,106
Monaragala,Samba,Maha,670,137
Monaragala,Samba,Maha,1962,128
Monaragala,Samba,Yala,3972,117
Monaragala,Nadu,Yala,2296,102
Monaragala,Samba,Yala,3888,120
Monaragala,Keeri Samba,Yala,1064,132
Monaragala,Samba,Maha,1987,135
Monaragala,Nadu,Yala,1182,102
Monaragala,Nadu,Maha,3657,116
Monaragala,Samba,Maha,4363,133
Monaragala,Keeri Samba,Maha,1670,139
Monaragala,Samba,Yala,4409,117
Monaragala,Samba,Yala,931,119
Monaragala,Keeri Samba,Yala,977,132
Monaragala,Samba,Maha,2173,133
Monaragala,Keeri Samba,Yala,4829,130
Monaragala,Keeri Samba,Maha,1596,143
Monaragala,Keeri Samba,Yala,4015,135
Monaragala,Samba,Yala,1439,125
Monaragala,Samba,Yala,2423,125
Monaragala,Nadu,Maha,3248,107
Monaragala,Nadu,Yala,1788,107
Monaragala,Nadu,Yala,697,97
Monaragala,Samba,Maha,729,134
Monaragala,Keeri Samba,Yala,3644,127
Monaragala,Nadu,Yala,2715,103
Monaragala,Keeri Samba,Yala,3123,137
Monaragala,Nadu,Yala,1344,102
Monaragala,Samba,Yala,3541,117
Monaragala,Samba,Yala,3314,117
Monaragala,Samba,Yala,2410,117
Monaragala,Samba,Maha,1962,137
Monaragala,Keeri Samba,Yala,535,136
Monaragala,Keeri Samba,Yala,736,134
Monaragala,Nadu,Maha,1156,109
Monaragala,Keeri Samba,Maha,2534,140
Monaragala,Nadu,Maha,4995,116
Monaragala,Nadu,Maha,2148,115
Monaragala,Keeri Samba,Maha,1622,140
Monaragala,Keeri Samba,Yala,774,131
Monaragala,Nadu,Maha,3914,109
Monaragala,Nadu,Maha,634,112
Monaragala,Nadu,Maha,1028,109
Monaragala,Keeri Samba,Yala,2455,132
Monaragala,Keeri Samba,Yala,4838,128
Monaragala,Keeri Samba,Maha,1811,139
Monaragala,Nadu,Maha,4433,114
Monaragala,Keeri Samba,Maha,3036,142
Monaragala,Keeri Samba,Yala,710,127
Monaragala,Samba,Maha,3070,132
Monaragala,Nadu,Maha,3143,114
Monaragala,Samba,Yala,4318,126
Monaragala,Samba,Yala,4541,123
Monaragala,Keeri Samba,Maha,2464,141
Monaragala,Keeri Samba,Maha,697,139
Monaragala,Samba,Maha,4778,137
Monaragala,Keeri Samba,Maha,1455,146
Monaragala,Keeri Samba,Maha,4157,139
Monaragala,Samba,Maha,4131,133
Monaragala,Nadu,Yala,4159,104
Monaragala,Keeri Samba,Yala,2110,137
Monaragala,Nadu,Maha,3290,116
Monaragala,Nadu,Yala,976,107
Monaragala,Keeri Samba,Maha,2700,142
Monaragala,Nadu,Yala,2881,101
Monaragala,Keeri Samba,Yala,3693,129
Monaragala,Keeri Samba,Yala,3247,127
Monaragala,Nadu,Yala,4624,97
Monaragala,Keeri Samba,Yala,3785,132
Monaragala,Keeri Samba,Maha,3796,144
Monaragala,Keeri Samba,Maha,562,146
Monaragala,Samba,Yala,2216,117
Monaragala,Nadu,Maha,2012,111
Monaragala,Nadu,Maha,1695,110
Monaragala,Keeri Samba,Yala,1669,130
