district,paddyType,season,quantity,price
Kandy,Nadu,Maha,4960,110
Kandy,Samba,Yala,1244,125
Kandy,Nadu,Maha,3627,113
Kandy,Keeri Samba,Maha,3635,143
Kandy,Samba,Maha,2198,134
Kandy,Nadu,Maha,4393,108
Kandy,Nadu,Yala,4444,103
Kandy,Samba,Maha,3321,131
Kandy,Keeri Samba,Yala,2138,136
Kandy,Samba,Yala,3392,125
Kandy,Samba,Maha,845,136
Kandy,Keeri Samba,Yala,1347,129
Kandy,Nadu,Maha,2310,108
Kandy,Nadu,Maha,3812,112
Kandy,Samba,Yala,742,126
Kandy,Nadu,Yala,4973,105
Kandy,Keeri Samba,Maha,1490,143
Kandy,Keeri Samba,Maha,710,147
Kandy,Keeri Samba,Maha,1901,142
Kandy,Keeri Samba,Maha,3893,146
Kandy,Keeri Samba,Yala,4365,132
Kandy,Keeri Samba,Maha,3176,139
Kandy,Keeri Samba,Maha,1478,140
Kandy,Nadu,Maha,2847,112
Kandy,Keeri Samba,Yala,2984,129
Kandy,Samba,Yala,552,119
Kandy,Nadu,Yala,2205,108
Kandy,Keeri Samba,Yala,2191,138
Kandy,Samba,Maha,2761,128
Kandy,Samba,Maha,3051,133
Kandy,Samba,Yala,1748,124
Kandy,Samba,Yala,2479,123
Kandy,Keeri Samba,Maha,3943,143
Kandy,Nadu,Maha,3292,115
Kandy,Nadu,Maha,3729,118
Kandy,Samba,Yala,771,123
Kandy,Nadu,Maha,4377,117
Kandy,Nadu,Maha,3255,115
Kandy,Samba,Maha,2080,128
Kandy,Nadu,Maha,3556,115
Kandy,Keeri Samba,Yala,2988,130
Kandy,Nadu,Maha,1734,112
Kandy,Nadu,Maha,2383,108
Kandy,Nadu,Maha,3881,113
Kandy,Keeri Samba,Yala,2225,128
Kandy,Nadu,Maha,2131,112
Kandy,Nadu,Maha,3836,110
Kandy,Keeri Samba,Yala,1241,136
Kandy,Samba,Maha,3673,132
Kandy,Nadu,Maha,3751,113
Kandy,Samba,Maha,3267,136
Kandy,Keeri Samba,Maha,4150,148
Kandy,Keeri Samba,Yala,4985,132
Kandy,Keeri Samba,Maha,2233,144
Kandy,Samba,Maha,860,137
Kandy,Keeri Samba,Maha,3386,141
Kandy,Samba,Maha,3474,129
Kandy,Keeri Samba,Yala,2953,137
Kandy,Samba,Maha,1773,133
Kandy,Nadu,Yala,2326,104
Kandy,Samba,Yala,2962,121
Kandy,Keeri Samba,Maha,1216,144
Kandy,Samba,Yala,548,124
Kandy,Samba,Yala,3393,123
Kandy,Samba,Yala,1780,119
Kandy,Samba,Maha,3988,135
Kandy,Samba,Maha,3110,137
Kandy,Samba,Maha,3228,128
Kandy,Nadu,Yala,1533,98
Kandy,Keeri Samba,Yala,3427,132
Kandy,Samba,Yala,3043,123
Kandy,Keeri Samba,Maha,3846,146
Kandy,Keeri Samba,Yala,4890,135
Kandy,Keeri Samba,Yala,4496,137
Kandy,Nadu,Yala,2445,102
Kandy,Samba,Maha,1957,132
Kandy,Samba,Yala,3228,128
Kandy,Keeri Samba,Yala,3784,129
Kandy,Nadu,Maha,4849,110
Kandy,Nadu,Maha,2019,113
Kandy,Nadu,Maha,953,108
Kandy,Samba,Maha,1329,134
Kandy,Keeri Samba,Maha,3627,140
Kandy,Samba,Maha,2081,135
Kandy,Samba,Maha,1086,133
Kandy,Samba,Yala,4940,123
Kandy,Keeri Samba,Yala,1951,132
Kandy,Keeri Samba,Maha,4059,140
Kandy,Nadu,Yala,2580,108
Kandy,Nadu,Yala,1841,102
Kandy,Keeri Samba,Maha,1461,145
Kandy,Nadu,Maha,632,115
Kandy,Samba,Maha,4098,135
Kandy,Samba,Yala,3450,121
Kandy,Keeri Samba,Yala,1660,128
Kandy,Keeri Samba,Maha,2806,139
Kandy,Samba,Yala,3200,126
Kandy,Nadu,Maha,3836,112
Kandy,Samba,Maha,2857,137
Kandy,Samba,Yala,4705,119
Kandy,Samba,Yala,2118,125
Kandy,Nadu,Maha,2228,111
Kandy,Keeri Samba,Yala,2902,129
Kandy,Nadu,Maha,2012,116
Kandy,Nadu,Maha,3217,113
Kandy,Nadu,Maha,4926,112
Kandy,Keeri Samba,Yala,4534,132
Kandy,Nadu,Maha,3025,108
Kandy,Keeri Samba,Yala,1418,137
Kandy,Nadu,Yala,4623,101
Kandy,Nadu,Maha,1194,114
Kandy,Nadu,Maha,1758,108
Kandy,Samba,Yala,1102,119
Kandy,Samba,Yala,1318,119
Kandy,Nadu,Maha,3322,116
Kandy,Nadu,Maha,4542,111
Kandy,Nadu,Yala,4176,98
Kandy,Nadu,Maha,4995,114
Kandy,Nadu,Yala,4064,104
Kandy,Nadu,Yala,4948,99
Kandy,Keeri Samba,Maha,4295,140
Kandy,Samba,Yala,1823,124
Kandy,Nadu,Yala,3644,100
Kandy,Keeri Samba,Yala,4151,134
Kandy,Nadu,Yala,1872,105
Kandy,Samba,Maha,3894,132
Kandy,Keeri Samba,Yala,2419,133
Kandy,Samba,Yala,2922,118
Kandy,Keeri Samba,Yala,3673,129
Kandy,Samba,Maha,3995,128
Kandy,Nadu,Maha,1918,110
Kandy,Keeri Samba,Yala,978,135
Kandy,Samba,Yala,1782,128
Kandy,Samba,Maha,4685,133
Kandy,Nadu,Maha,4469,115
Kandy,Samba,Yala,1421,125
Kandy,Samba,Maha,4079,137
Kandy,Nadu,Maha,914,111
Kandy,Keeri Samba,Yala,2303,135
Kandy,Keeri Samba,Maha,3766,139
Kandy,Nadu,Maha,1618,113
Kandy,Nadu,Yala,3959,104
Kandy,Nadu,Maha,597,113
Kandy,Samba,Yala,3270,122
Kandy,Samba,Yala,4783,127
Kandy,Keeri Samba,Maha,1320,148
Kandy,Nadu,Yala,4748,100
Kandy,Samba,Maha,1858,130
Kandy,Samba,Yala,4972,128
Kandy,Keeri Samba,Maha,4660,143
Kandy,Keeri Samba,Maha,4477,139
Kandy,Keeri Samba,Maha,4056,139
Kandy,Keeri Samba,Yala,1995,133
Kandy,Keeri Samba,Maha,2033,143
Kandy,Nadu,Maha,4400,118
Kandy,Keeri Samba,Maha,2075,148
Kandy,Samba,Maha,1401,130
Kandy,Samba,Yala,1871,120
Kandy,Samba,Yala,1182,128
Kandy,Nadu,Yala,767,100
Kandy,Samba,Maha,712,128
Kandy,Nadu,Yala,2781,106
Kandy,Nadu,Yala,2537,103
Kandy,Samba,Yala,4824,119
Kandy,Nadu,Maha,3624,117
Kandy,Samba,Maha,2498,136
Kandy,Keeri Samba,Yala,3225,137
Kandy,Nadu,Yala,3601,105
Kandy,Keeri Samba,Yala,1028,137
Kandy,Samba,Yala,3534,119
Kandy,Keeri Samba,Yala,2873,128
Kandy,Samba,Yala,4607,120
Kandy,Nadu,Yala,4431,99
Kandy,Samba,Maha,3548,131
Kandy,Keeri Samba,Maha,3190,138
Kandy,Samba,Maha,1633,128
Kandy,Samba,Yala,1784,126
Kandy,Nadu,Maha,3083,110
Kandy,Nadu,Yala,3217,108
Kandy,Keeri Samba,Maha,608,146
Kandy,Keeri Samba,Yala,894,135
Kandy,Keeri Samba,Yala,2488,135
Kandy,Nadu,Maha,503,110
Kandy,Samba,Maha,3270,130
Kandy,Keeri Samba,Maha,4207,143
Kandy,Samba,Maha,4377,134
Kandy,Samba,Maha,4405,132
Kandy,Keeri Samba,Maha,2430,147
Kandy,Nadu,Yala,2025,102
Kandy,Keeri Samba,Maha,3976,145
Kandy,Samba,Maha,624,136
Kandy,Samba,Maha,2690,130
Kandy,Keeri Samba,Yala,3927,134
Kandy,Keeri Samba,Yala,3321,131
Kandy,Keeri Samba,Yala,4221,130
Kandy,Samba,Yala,4550,119
Kandy,Nadu,Yala,2704,107
Kandy,Samba,Maha,3491,133
Kandy,Keeri Samba,Yala,2150,128
Kandy,Nadu,Yala,2619,104
Kandy,Samba,Maha,3741,131
Kandy,Nadu,Yala,1283,106
Kandy,Nadu,Maha,2681,113
Kandy,Keeri Samba,Maha,3369,143
Kandy,Samba,Maha,2863,135
Kandy,Nadu,Maha,4080,109
Kandy,Nadu,Yala,2867,103
Kandy,Samba,Yala,4330,127
Kandy,Samba,Maha,2363,134
Kandy,Nadu,Yala,2848,101
Kandy,Samba,Yala,862,119
Kandy,Keeri Samba,Yala,3839,134
Kandy,Samba,Yala,2156,119
Kandy,Nadu,Yala,2551,105
Kandy,Keeri Samba,Maha,4338,141
Kandy,Samba,Yala,1097,126
Kandy,Nadu,Maha,3878,114
Kandy,Samba,Maha,3155,132
Kandy,Nadu,Maha,2180,113
Kandy,Nadu,Maha,1264,112
Kandy,Nadu,Yala,558,98
Kandy,Nadu,Yala,4660,102
Kandy,Samba,Yala,2395,122
Kandy,Nadu,Yala,2216,100
Kandy,Keeri Samba,Yala,1849,136
Kandy,Nadu,Maha,604,116
Kandy,Samba,Yala,3552,123
Kandy,Samba,Maha,1227,138
Kandy,Nadu,Yala,3471,105
Kandy,Samba,Maha,4924,134
